pais_id,nonpais_id,provincia_id,nom_provincia,nom_localidad,nombre_vulgar,unidad_superficie,superficie
32,Argentina,6,BUENOS AIRES,BALCARCE,ACHICORIA ,Hectareas,42
32,Argentina,6,BUENOS AIRES,PEDRO LURO,ACHICORIA ,Hectareas,8
32,Argentina,6,BUENOS AIRES,RAMOS OTERO,ACHICORIA ,Hectareas,50
32,Argentina,6,BUENOS AIRES,BALCARCE,AGROPIRO ALARGADO ,Hectareas,336
32,Argentina,6,BUENOS AIRES,CAPITAN SARMIENTO,AGROPIRO ALARGADO ,Hectareas,77
32,Argentina,6,BUENOS AIRES,COLON,AGROPIRO ALARGADO ,Hectareas,239
32,Argentina,6,BUENOS AIRES,GENERAL ALVEAR,AGROPIRO ALARGADO ,Hectareas,62
32,Argentina,6,BUENOS AIRES,GENERAL CONESA,AGROPIRO ALARGADO ,Hectareas,30
32,Argentina,6,BUENOS AIRES,GENERAL LAVALLE,AGROPIRO ALARGADO ,Hectareas,87
32,Argentina,6,BUENOS AIRES,GUAMINI,AGROPIRO ALARGADO ,Hectareas,35
32,Argentina,6,BUENOS AIRES,HILARIO ASCASUBI,AGROPIRO ALARGADO ,Hectareas,224
32,Argentina,6,BUENOS AIRES,JUAN A. PRADERE,AGROPIRO ALARGADO ,Hectareas,36
32,Argentina,6,BUENOS AIRES,LOBERIA,AGROPIRO ALARGADO ,Hectareas,90
32,Argentina,6,BUENOS AIRES,LUJAN,AGROPIRO ALARGADO ,Hectareas,0.25
32,Argentina,6,BUENOS AIRES,MAR DEL PLATA,AGROPIRO ALARGADO ,Hectareas,130
32,Argentina,6,BUENOS AIRES,MAYOR BURATOVICH,AGROPIRO ALARGADO ,Hectareas,75.5
32,Argentina,6,BUENOS AIRES,NECOCHEA,AGROPIRO ALARGADO ,Hectareas,35
32,Argentina,6,BUENOS AIRES,PEDRO LURO,AGROPIRO ALARGADO ,Hectareas,405
32,Argentina,6,BUENOS AIRES,PRADERE,AGROPIRO ALARGADO ,Hectareas,20
32,Argentina,6,BUENOS AIRES,SALADILLO,AGROPIRO ALARGADO ,Hectareas,380
32,Argentina,6,BUENOS AIRES,SALTO,AGROPIRO ALARGADO ,Hectareas,40
32,Argentina,6,BUENOS AIRES,SAN CAYETANO,AGROPIRO ALARGADO ,Hectareas,347
32,Argentina,6,BUENOS AIRES,VILLALONGA,AGROPIRO ALARGADO ,Hectareas,77
32,Argentina,6,BUENOS AIRES,VIVORATA,AGROPIRO ALARGADO ,Hectareas,157
32,Argentina,6,BUENOS AIRES,16 DE JULIO,ALFALFA ,Hectareas,68
32,Argentina,6,BUENOS AIRES,AMERICA,ALFALFA ,Hectareas,20
32,Argentina,6,BUENOS AIRES,BAHIA BLANCA,ALFALFA ,Hectareas,40
32,Argentina,6,BUENOS AIRES,BANDERALO,ALFALFA ,Hectareas,50.44
32,Argentina,6,BUENOS AIRES,BELLA VISTA,ALFALFA ,Hectareas,23.5
32,Argentina,6,BUENOS AIRES,BURATOVICH,ALFALFA ,Hectareas,237
32,Argentina,6,BUENOS AIRES,EL TRIANGULO,ALFALFA ,Hectareas,60
32,Argentina,6,BUENOS AIRES,HILARIO ASCASUBI,ALFALFA ,Hectareas,718.6
32,Argentina,6,BUENOS AIRES,IGARZABAL,ALFALFA ,Hectareas,23
32,Argentina,6,BUENOS AIRES,MAYOR BURATOVICH,ALFALFA ,Hectareas,512.9
32,Argentina,6,BUENOS AIRES,PEDRO LURO,ALFALFA ,Hectareas,483
32,Argentina,6,BUENOS AIRES,PERGAMINO,ALFALFA ,Hectareas,8
32,Argentina,6,BUENOS AIRES,PRADERE,ALFALFA ,Hectareas,288.5
32,Argentina,6,BUENOS AIRES,STROEDER,ALFALFA ,Hectareas,100
32,Argentina,6,BUENOS AIRES,TRES ARROYOS,ALFALFA ,Hectareas,80
32,Argentina,6,BUENOS AIRES,VILLA LONGA,ALFALFA ,Hectareas,447.5
32,Argentina,6,BUENOS AIRES,VILLALONGA,ALFALFA ,Hectareas,3166.5
32,Argentina,6,BUENOS AIRES,ARRECIFES,ARVEJA VARIEDAD,Hectareas,28
32,Argentina,6,BUENOS AIRES,BALCARCE,ARVEJA VARIEDAD,Hectareas,23.5
32,Argentina,6,BUENOS AIRES,CARLOS CASARES,ARVEJA VARIEDAD,Hectareas,32
32,Argentina,6,BUENOS AIRES,PERGAMINO,ARVEJA VARIEDAD,Hectareas,30
32,Argentina,6,BUENOS AIRES,SALTO,ARVEJA VARIEDAD,Hectareas,27
32,Argentina,6,BUENOS AIRES,9 DE JULIO,AVENA ,Hectareas,67
32,Argentina,6,BUENOS AIRES,ASCENSION,AVENA ,Hectareas,45
32,Argentina,6,BUENOS AIRES,BOLIVAR,AVENA ,Hectareas,17
32,Argentina,6,BUENOS AIRES,CHACABUCO,AVENA ,Hectareas,10
32,Argentina,6,BUENOS AIRES,CORONEL PRINGLES,AVENA ,Hectareas,33
32,Argentina,6,BUENOS AIRES,DAIREAUX,AVENA ,Hectareas,60
32,Argentina,6,BUENOS AIRES,JUNIN,AVENA ,Hectareas,80
32,Argentina,6,BUENOS AIRES,LAPRIDA,AVENA ,Hectareas,35
32,Argentina,6,BUENOS AIRES,NAVARRO,AVENA ,Hectareas,30
32,Argentina,6,BUENOS AIRES,PERGAMINO,AVENA ,Hectareas,105
32,Argentina,6,BUENOS AIRES,RANCAGUA,AVENA ,Hectareas,86
32,Argentina,6,BUENOS AIRES,SAN CAYETANO,AVENA ,Hectareas,40
32,Argentina,6,BUENOS AIRES,TRES ARROYOS,AVENA ,Hectareas,100
32,Argentina,6,BUENOS AIRES,TRES LOMAS,AVENA ,Hectareas,196
32,Argentina,6,BUENOS AIRES,16 DE JULIO,AVENA BLANCA VARIEDAD,Hectareas,70
32,Argentina,6,BUENOS AIRES,17 DE AGOSTO,AVENA BLANCA VARIEDAD,Hectareas,60
32,Argentina,6,BUENOS AIRES,9 DE JULIO,AVENA BLANCA VARIEDAD,Hectareas,80
32,Argentina,6,BUENOS AIRES,AZUL,AVENA BLANCA VARIEDAD,Hectareas,88
32,Argentina,6,BUENOS AIRES,CAPITAN SARMIENTO,AVENA BLANCA VARIEDAD,Hectareas,30
32,Argentina,6,BUENOS AIRES,EREZCANO,AVENA BLANCA VARIEDAD,Hectareas,90
32,Argentina,6,BUENOS AIRES,FONTEZUELA,AVENA BLANCA VARIEDAD,Hectareas,10
32,Argentina,6,BUENOS AIRES,HILARIO ASCASUBI,AVENA BLANCA VARIEDAD,Hectareas,6.5
32,Argentina,6,BUENOS AIRES,LAPRIDA,AVENA BLANCA VARIEDAD,Hectareas,35
32,Argentina,6,BUENOS AIRES,LINCOLN,AVENA BLANCA VARIEDAD,Hectareas,130
32,Argentina,6,BUENOS AIRES,MAIPU,AVENA BLANCA VARIEDAD,Hectareas,80
32,Argentina,6,BUENOS AIRES,MAXIMO PAZ,AVENA BLANCA VARIEDAD,Hectareas,15
32,Argentina,6,BUENOS AIRES,MERCEDES,AVENA BLANCA VARIEDAD,Hectareas,77
32,Argentina,6,BUENOS AIRES,NECOCHEA,AVENA BLANCA VARIEDAD,Hectareas,40
32,Argentina,6,BUENOS AIRES,OLAVARRIA,AVENA BLANCA VARIEDAD,Hectareas,50
32,Argentina,6,BUENOS AIRES,PERGAMINO,AVENA BLANCA VARIEDAD,Hectareas,115
32,Argentina,6,BUENOS AIRES,RANCAGUA,AVENA BLANCA VARIEDAD,Hectareas,127
32,Argentina,6,BUENOS AIRES,RAUCH,AVENA BLANCA VARIEDAD,Hectareas,69
32,Argentina,6,BUENOS AIRES,SAAVEDRA,AVENA BLANCA VARIEDAD,Hectareas,15
32,Argentina,6,BUENOS AIRES,SALADILLO,AVENA BLANCA VARIEDAD,Hectareas,83.4
32,Argentina,6,BUENOS AIRES,SAN ANTONIO DE ARECO,AVENA BLANCA VARIEDAD,Hectareas,69
32,Argentina,6,BUENOS AIRES,TANDIL,AVENA BLANCA VARIEDAD,Hectareas,175
32,Argentina,6,BUENOS AIRES,VILLA LIA,AVENA BLANCA VARIEDAD,Hectareas,25
32,Argentina,6,BUENOS AIRES,SAN ANTONIO DE ARECO,AVENA SATIVA,Hectareas,53
32,Argentina,6,BUENOS AIRES,MAXIMO PAZ,AVENA STRIGOSA,Hectareas,75
32,Argentina,6,BUENOS AIRES,PERGAMINO,AVENA STRIGOSA,Hectareas,34
32,Argentina,6,BUENOS AIRES,ADOLFO GONZALES CHAVES,CEBADA CERVECERA ,Hectareas,18
32,Argentina,6,BUENOS AIRES,AZUL,CEBADA CERVECERA ,Hectareas,124
32,Argentina,6,BUENOS AIRES,BALCARCE,CEBADA CERVECERA ,Hectareas,12.5
32,Argentina,6,BUENOS AIRES,BRAGADO,CEBADA CERVECERA ,Hectareas,150
32,Argentina,6,BUENOS AIRES,CHACABUCO,CEBADA CERVECERA ,Hectareas,30
32,Argentina,6,BUENOS AIRES,COMODORO PY,CEBADA CERVECERA ,Hectareas,130
32,Argentina,6,BUENOS AIRES,CORONEL MARTINEZ DE HOZ,CEBADA CERVECERA ,Hectareas,94
32,Argentina,6,BUENOS AIRES,general villegas,CEBADA CERVECERA ,Hectareas,333
32,Argentina,6,BUENOS AIRES,GUERRICO,CEBADA CERVECERA ,Hectareas,60
32,Argentina,6,BUENOS AIRES,IRALA,CEBADA CERVECERA ,Hectareas,65
32,Argentina,6,BUENOS AIRES,JUAN A. PRADERE,CEBADA CERVECERA ,Hectareas,40
32,Argentina,6,BUENOS AIRES,MECHITA,CEBADA CERVECERA ,Hectareas,25
32,Argentina,6,BUENOS AIRES,MIRAMAR,CEBADA CERVECERA ,Hectareas,15
32,Argentina,6,BUENOS AIRES,NECOCHEA,CEBADA CERVECERA ,Hectareas,229
32,Argentina,6,BUENOS AIRES,OLAVARRIA,CEBADA CERVECERA ,Hectareas,208
32,Argentina,6,BUENOS AIRES,ORENSE,CEBADA CERVECERA ,Hectareas,31
32,Argentina,6,BUENOS AIRES,PARTIDO GENERAL ALVARADO,CEBADA CERVECERA ,Hectareas,100
32,Argentina,6,BUENOS AIRES,PERGAMINO,CEBADA CERVECERA ,Hectareas,29
32,Argentina,6,BUENOS AIRES,PIEDRITAS,CEBADA CERVECERA ,Hectareas,10
32,Argentina,6,BUENOS AIRES,PUAN,CEBADA CERVECERA ,Hectareas,4938.5
32,Argentina,6,BUENOS AIRES,RAUCH,CEBADA CERVECERA ,Hectareas,30
32,Argentina,6,BUENOS AIRES,SAN MANUEL,CEBADA CERVECERA ,Hectareas,25
32,Argentina,6,BUENOS AIRES,TANDIL,CEBADA CERVECERA ,Hectareas,126
32,Argentina,6,BUENOS AIRES,TRES ARROYOS,CEBADA CERVECERA ,Hectareas,3416
32,Argentina,6,BUENOS AIRES,ARROYO VENADO,CEBADA FORRAJERA ,Hectareas,45
32,Argentina,6,BUENOS AIRES,CARABELAS,CEBADA FORRAJERA ,Hectareas,50
32,Argentina,6,BUENOS AIRES,HILARIO ASCASUBI,CEBADA FORRAJERA ,Hectareas,7
32,Argentina,6,BUENOS AIRES,JUAN N. FERNANDEZ,CEBADA FORRAJERA ,Hectareas,47
32,Argentina,6,BUENOS AIRES,VILLALONGA,CEBADA FORRAJERA ,Hectareas,25
32,Argentina,6,BUENOS AIRES,CARABELAS,CEBADILLA ,Hectareas,66
32,Argentina,6,BUENOS AIRES,ACEVEDO,CEBADILLA CRIOLLA ,Hectareas,13
32,Argentina,6,BUENOS AIRES,AZUL,CEBADILLA CRIOLLA ,Hectareas,183
32,Argentina,6,BUENOS AIRES,BALCARCE,CEBADILLA CRIOLLA ,Hectareas,62
32,Argentina,6,BUENOS AIRES,CARABELAS,CEBADILLA CRIOLLA ,Hectareas,220
32,Argentina,6,BUENOS AIRES,CORONEL VIDAL,CEBADILLA CRIOLLA ,Hectareas,160
32,Argentina,6,BUENOS AIRES,GENERAL ALVARADO,CEBADILLA CRIOLLA ,Hectareas,125
32,Argentina,6,BUENOS AIRES,LOBERIA,CEBADILLA CRIOLLA ,Hectareas,231
32,Argentina,6,BUENOS AIRES,MAR DEL SUD,CEBADILLA CRIOLLA ,Hectareas,112
32,Argentina,6,BUENOS AIRES,MARIANO H. ALFONZO,CEBADILLA CRIOLLA ,Hectareas,100
32,Argentina,6,BUENOS AIRES,MORSE,CEBADILLA CRIOLLA ,Hectareas,28
32,Argentina,6,BUENOS AIRES,PERGAMINO,CEBADILLA CRIOLLA ,Hectareas,212
32,Argentina,6,BUENOS AIRES,RANCAGUA,CEBADILLA CRIOLLA ,Hectareas,32
32,Argentina,6,BUENOS AIRES,ROJAS,CEBADILLA CRIOLLA ,Hectareas,140
32,Argentina,6,BUENOS AIRES,SALTO,CEBADILLA CRIOLLA ,Hectareas,65
32,Argentina,6,BUENOS AIRES,MAR DEL SUD,CEBADILLA PERENNE ,Hectareas,47
32,Argentina,6,BUENOS AIRES,BORDENAVE,CENTENO ,Hectareas,6
32,Argentina,6,BUENOS AIRES,MAYOR BURATOVICH,CENTENO ,Hectareas,20
32,Argentina,6,BUENOS AIRES,PEDRO LURO,CENTENO ,Hectareas,75
32,Argentina,6,BUENOS AIRES,TORNQUIST,CENTENO ,Hectareas,25
32,Argentina,6,BUENOS AIRES,TRES ARROYOS,CENTENO ,Hectareas,31
32,Argentina,6,BUENOS AIRES,AZUL,COLZA-CANOLA HIBRIDO,Hectareas,40
32,Argentina,6,BUENOS AIRES,CARABELAS,COLZA-CANOLA HIBRIDO,Hectareas,16
32,Argentina,6,BUENOS AIRES,SALTO,COLZA-CANOLA HIBRIDO,Hectareas,44.5
32,Argentina,6,BUENOS AIRES,BALCARCE,FESTUCA,Hectareas,105
32,Argentina,6,BUENOS AIRES,CHIVILCOY,FESTUCA,Hectareas,48
32,Argentina,6,BUENOS AIRES,CRISTIANO MUERTO,FESTUCA,Hectareas,60
32,Argentina,6,BUENOS AIRES,INDIO RICO,FESTUCA,Hectareas,180
32,Argentina,6,BUENOS AIRES,MECHONGUE,FESTUCA,Hectareas,142
32,Argentina,6,BUENOS AIRES,VIVORATA,FESTUCA,Hectareas,156
32,Argentina,6,BUENOS AIRES,16 DE JULIO,FESTUCA ALTA ,Hectareas,12
32,Argentina,6,BUENOS AIRES,17 DE AGOSTO,FESTUCA ALTA ,Hectareas,51
32,Argentina,6,BUENOS AIRES,25 DE MAYO,FESTUCA ALTA ,Hectareas,30
32,Argentina,6,BUENOS AIRES,9 DE JULIO,FESTUCA ALTA ,Hectareas,60
32,Argentina,6,BUENOS AIRES,ACEVEDO,FESTUCA ALTA ,Hectareas,42
32,Argentina,6,BUENOS AIRES,ARROYO DULCE,FESTUCA ALTA ,Hectareas,105
32,Argentina,6,BUENOS AIRES,AYACUCHO,FESTUCA ALTA ,Hectareas,90
32,Argentina,6,BUENOS AIRES,BALCARCE,FESTUCA ALTA ,Hectareas,1295
32,Argentina,6,BUENOS AIRES,BAUDRIX,FESTUCA ALTA ,Hectareas,111
32,Argentina,6,BUENOS AIRES,BENITO JUAREZ,FESTUCA ALTA ,Hectareas,85
32,Argentina,6,BUENOS AIRES,BOLIVAR,FESTUCA ALTA ,Hectareas,60
32,Argentina,6,BUENOS AIRES,CAPITAN SARMIENTO,FESTUCA ALTA ,Hectareas,43
32,Argentina,6,BUENOS AIRES,CARABELAS,FESTUCA ALTA ,Hectareas,151
32,Argentina,6,BUENOS AIRES,CARHUE,FESTUCA ALTA ,Hectareas,40
32,Argentina,6,BUENOS AIRES,CASTILLA,FESTUCA ALTA ,Hectareas,65
32,Argentina,6,BUENOS AIRES,COLON,FESTUCA ALTA ,Hectareas,21
32,Argentina,6,BUENOS AIRES,CORBETT,FESTUCA ALTA ,Hectareas,120
32,Argentina,6,BUENOS AIRES,CORONEL VIDAL,FESTUCA ALTA ,Hectareas,290
32,Argentina,6,BUENOS AIRES,CRISTIANO MUERTO,FESTUCA ALTA ,Hectareas,60
32,Argentina,6,BUENOS AIRES,ESCOBAR,FESTUCA ALTA ,Hectareas,115
32,Argentina,6,BUENOS AIRES,ESPARTILLAR (PDO. SAAVEDRA),FESTUCA ALTA ,Hectareas,95
32,Argentina,6,BUENOS AIRES,GENERAL ALVARADO,FESTUCA ALTA ,Hectareas,108
32,Argentina,6,BUENOS AIRES,GENERAL ALVEAR,FESTUCA ALTA ,Hectareas,60
32,Argentina,6,BUENOS AIRES,GENERAL LA MADRID,FESTUCA ALTA ,Hectareas,75
32,Argentina,6,BUENOS AIRES,GUAMINI,FESTUCA ALTA ,Hectareas,139
32,Argentina,6,BUENOS AIRES,GUERRICO,FESTUCA ALTA ,Hectareas,14
32,Argentina,6,BUENOS AIRES,HUAGUELEN,FESTUCA ALTA ,Hectareas,34
32,Argentina,6,BUENOS AIRES,HUANGUELEN,FESTUCA ALTA ,Hectareas,99
32,Argentina,6,BUENOS AIRES,JUAN N. FERNANDEZ,FESTUCA ALTA ,Hectareas,95
32,Argentina,6,BUENOS AIRES,LOBERIA,FESTUCA ALTA ,Hectareas,135
32,Argentina,6,BUENOS AIRES,MANUEL OCAMPO,FESTUCA ALTA ,Hectareas,22
32,Argentina,6,BUENOS AIRES,MAR DEL SUD,FESTUCA ALTA ,Hectareas,36
32,Argentina,6,BUENOS AIRES,MARIANO BENITEZ,FESTUCA ALTA ,Hectareas,52.5
32,Argentina,6,BUENOS AIRES,MECHONGUE,FESTUCA ALTA ,Hectareas,150
32,Argentina,6,BUENOS AIRES,MONTE VELOZ,FESTUCA ALTA ,Hectareas,130
32,Argentina,6,BUENOS AIRES,MORSE,FESTUCA ALTA ,Hectareas,26
32,Argentina,6,BUENOS AIRES,NAPALEOFU,FESTUCA ALTA ,Hectareas,70
32,Argentina,6,BUENOS AIRES,PASMAN,FESTUCA ALTA ,Hectareas,57
32,Argentina,6,BUENOS AIRES,PEARSON,FESTUCA ALTA ,Hectareas,20
32,Argentina,6,BUENOS AIRES,PERGAMINO,FESTUCA ALTA ,Hectareas,323
32,Argentina,6,BUENOS AIRES,PIERES,FESTUCA ALTA ,Hectareas,105
32,Argentina,6,BUENOS AIRES,RAMOS OTERO,FESTUCA ALTA ,Hectareas,463
32,Argentina,6,BUENOS AIRES,RAWSON,FESTUCA ALTA ,Hectareas,169
32,Argentina,6,BUENOS AIRES,ROBERTS,FESTUCA ALTA ,Hectareas,52
32,Argentina,6,BUENOS AIRES,SALADILLO,FESTUCA ALTA ,Hectareas,857.9
32,Argentina,6,BUENOS AIRES,SAN ANTONIO DE ARECO,FESTUCA ALTA ,Hectareas,70
32,Argentina,6,BUENOS AIRES,SAN CAYETANO,FESTUCA ALTA ,Hectareas,386
32,Argentina,6,BUENOS AIRES,TANDIL,FESTUCA ALTA ,Hectareas,162
32,Argentina,6,BUENOS AIRES,TAPALQUE,FESTUCA ALTA ,Hectareas,70
32,Argentina,6,BUENOS AIRES,TRES ARROYOS,FESTUCA ALTA ,Hectareas,89
32,Argentina,6,BUENOS AIRES,VEDIA,FESTUCA ALTA ,Hectareas,21
32,Argentina,6,BUENOS AIRES,VERONICA,FESTUCA ALTA ,Hectareas,70
32,Argentina,6,BUENOS AIRES,CASBAS,GIRASOL HIBRIDO DE TRES LINEAS,Hectareas,59
32,Argentina,6,BUENOS AIRES,CORONEL SUAREZ,GIRASOL HIBRIDO DE TRES LINEAS,Hectareas,210
32,Argentina,6,BUENOS AIRES,MAYOR BURATOVICH,GIRASOL HIBRIDO DE TRES LINEAS,Hectareas,149
32,Argentina,6,BUENOS AIRES,HILARIO ASCASUBI,GIRASOL HIBRIDO SIMPLE CONFITERO,Hectareas,16
32,Argentina,6,BUENOS AIRES,MAYOR BURATOVICH,GIRASOL HIBRIDO SIMPLE CONFITERO,Hectareas,73
32,Argentina,6,BUENOS AIRES,16 DE JULIO,GIRASOL HIBRIDOS SIMPLES,Hectareas,228
32,Argentina,6,BUENOS AIRES,25 DE MAYO,GIRASOL HIBRIDOS SIMPLES,Hectareas,559
32,Argentina,6,BUENOS AIRES,AMEGHINO,GIRASOL HIBRIDOS SIMPLES,Hectareas,53
32,Argentina,6,BUENOS AIRES,AZUL,GIRASOL HIBRIDOS SIMPLES,Hectareas,38
32,Argentina,6,BUENOS AIRES,BALCARCE,GIRASOL HIBRIDOS SIMPLES,Hectareas,377
32,Argentina,6,BUENOS AIRES,BURATOVICH,GIRASOL HIBRIDOS SIMPLES,Hectareas,131
32,Argentina,6,BUENOS AIRES,CARMEN DE PATAGONES,GIRASOL HIBRIDOS SIMPLES,Hectareas,639.25
32,Argentina,6,BUENOS AIRES,CASBAS,GIRASOL HIBRIDOS SIMPLES,Hectareas,160
32,Argentina,6,BUENOS AIRES,CASEY,GIRASOL HIBRIDOS SIMPLES,Hectareas,88
32,Argentina,6,BUENOS AIRES,CORONEL GRANADA,GIRASOL HIBRIDOS SIMPLES,Hectareas,80
32,Argentina,6,BUENOS AIRES,CORONEL PRINGLES,GIRASOL HIBRIDOS SIMPLES,Hectareas,222
32,Argentina,6,BUENOS AIRES,CORONEL SUAREZ,GIRASOL HIBRIDOS SIMPLES,Hectareas,1145.5
32,Argentina,6,BUENOS AIRES,CORONEL VIDAL,GIRASOL HIBRIDOS SIMPLES,Hectareas,30
32,Argentina,6,BUENOS AIRES,ESPARTILLAR (GRAL. PAZ-PDO. GRAL. PAZ),GIRASOL HIBRIDOS SIMPLES,Hectareas,176
32,Argentina,6,BUENOS AIRES,FLORENTINO AMEGHINO,GIRASOL HIBRIDOS SIMPLES,Hectareas,80
32,Argentina,6,BUENOS AIRES,GENERAL VILLEGAS,GIRASOL HIBRIDOS SIMPLES,Hectareas,137
32,Argentina,6,BUENOS AIRES,HILARIO ASCASUBI,GIRASOL HIBRIDOS SIMPLES,Hectareas,810.8
32,Argentina,6,BUENOS AIRES,HUANGUELEN,GIRASOL HIBRIDOS SIMPLES,Hectareas,76
32,Argentina,6,BUENOS AIRES,JUAN A. PRADERE,GIRASOL HIBRIDOS SIMPLES,Hectareas,38
32,Argentina,6,BUENOS AIRES,LA DULCE,GIRASOL HIBRIDOS SIMPLES,Hectareas,70
32,Argentina,6,BUENOS AIRES,MAYOR BURATOVICH,GIRASOL HIBRIDOS SIMPLES,Hectareas,938
32,Argentina,6,BUENOS AIRES,NECOCHEA,GIRASOL HIBRIDOS SIMPLES,Hectareas,130
32,Argentina,6,BUENOS AIRES,PEDRO LURO,GIRASOL HIBRIDOS SIMPLES,Hectareas,1064
32,Argentina,6,BUENOS AIRES,PRADERE,GIRASOL HIBRIDOS SIMPLES,Hectareas,66
32,Argentina,6,BUENOS AIRES,SAN AGUSTIN,GIRASOL HIBRIDOS SIMPLES,Hectareas,130
32,Argentina,6,BUENOS AIRES,VILLA LONGA,GIRASOL HIBRIDOS SIMPLES,Hectareas,2048
32,Argentina,6,BUENOS AIRES,VILLALONGA,GIRASOL HIBRIDOS SIMPLES,Hectareas,772
32,Argentina,6,BUENOS AIRES,GENERAL PIRAN,LOLIUM PERENNE ,Hectareas,47
32,Argentina,6,BUENOS AIRES,ARROYO DULCE,LOTUS CORNICULATUS ,Hectareas,35
32,Argentina,6,BUENOS AIRES,BALCARCE,LOTUS CORNICULATUS ,Hectareas,651
32,Argentina,6,BUENOS AIRES,FONTEZUELA,LOTUS CORNICULATUS ,Hectareas,20
32,Argentina,6,BUENOS AIRES,SAN CAYETANO,LOTUS CORNICULATUS ,Hectareas,35
32,Argentina,6,BUENOS AIRES,BALCARCE,LOTUS TENUIS ,Hectareas,46
32,Argentina,6,BUENOS AIRES,GUERRICO,LOTUS TENUIS ,Hectareas,65
32,Argentina,6,BUENOS AIRES,PERGAMINO,LOTUS TENUIS ,Hectareas,272
32,Argentina,6,BUENOS AIRES,SALADILLO,LOTUS TENUIS ,Hectareas,175
32,Argentina,6,BUENOS AIRES,LIMA,MAIZ HIBRIDO SIMPLE MODIFICADO,Hectareas,30
32,Argentina,6,BUENOS AIRES,COLON,MAIZ HIBRIDOS DE TRES LINEAS,Hectareas,28
32,Argentina,6,BUENOS AIRES,GAHAN,MAIZ HIBRIDOS DE TRES LINEAS,Hectareas,158
32,Argentina,6,BUENOS AIRES,RANCAGUA,MAIZ HIBRIDOS DE TRES LINEAS,Hectareas,30
32,Argentina,6,BUENOS AIRES,SAN PEDRO,MAIZ HIBRIDOS DE TRES LINEAS,Hectareas,30
32,Argentina,6,BUENOS AIRES,ALFONSO,MAIZ HIBRIDOS DOBLES,Hectareas,75
32,Argentina,6,BUENOS AIRES,ARRECIFES,MAIZ HIBRIDOS DOBLES,Hectareas,100.9
32,Argentina,6,BUENOS AIRES,BALCARCE,MAIZ HIBRIDOS DOBLES,Hectareas,388.3
32,Argentina,6,BUENOS AIRES,BARADERO,MAIZ HIBRIDOS DOBLES,Hectareas,260
32,Argentina,6,BUENOS AIRES,BRAGADO,MAIZ HIBRIDOS DOBLES,Hectareas,110
32,Argentina,6,BUENOS AIRES,CARABELAS,MAIZ HIBRIDOS DOBLES,Hectareas,144.5
32,Argentina,6,BUENOS AIRES,CARMEN DE ARECO,MAIZ HIBRIDOS DOBLES,Hectareas,254.5
32,Argentina,6,BUENOS AIRES,CORONEL PRINGLES,MAIZ HIBRIDOS DOBLES,Hectareas,139.5
32,Argentina,6,BUENOS AIRES,CORONEL SUAREZ,MAIZ HIBRIDOS DOBLES,Hectareas,140
32,Argentina,6,BUENOS AIRES,GENERAL LA MADRID,MAIZ HIBRIDOS DOBLES,Hectareas,706.5
32,Argentina,6,BUENOS AIRES,INES INDART,MAIZ HIBRIDOS DOBLES,Hectareas,136.1
32,Argentina,6,BUENOS AIRES,LA ANGELITA,MAIZ HIBRIDOS DOBLES,Hectareas,19
32,Argentina,6,BUENOS AIRES,LOBERIA,MAIZ HIBRIDOS DOBLES,Hectareas,202
32,Argentina,6,BUENOS AIRES,NECOCHEA,MAIZ HIBRIDOS DOBLES,Hectareas,191
32,Argentina,6,BUENOS AIRES,TRES LOMAS,MAIZ HIBRIDOS DOBLES,Hectareas,80
32,Argentina,6,BUENOS AIRES,URQUIZA,MAIZ HIBRIDOS DOBLES,Hectareas,144
32,Argentina,6,BUENOS AIRES,25 DE MAYO,MAIZ HIBRIDOS SIMPLES,Hectareas,239
32,Argentina,6,BUENOS AIRES,ACEVEDO,MAIZ HIBRIDOS SIMPLES,Hectareas,49
32,Argentina,6,BUENOS AIRES,ALBERTI,MAIZ HIBRIDOS SIMPLES,Hectareas,503
32,Argentina,6,BUENOS AIRES,ALEM,MAIZ HIBRIDOS SIMPLES,Hectareas,33
32,Argentina,6,BUENOS AIRES,AMEGHINO,MAIZ HIBRIDOS SIMPLES,Hectareas,14
32,Argentina,6,BUENOS AIRES,ARENALES,MAIZ HIBRIDOS SIMPLES,Hectareas,66
32,Argentina,6,BUENOS AIRES,ARRECIFES,MAIZ HIBRIDOS SIMPLES,Hectareas,1749.55
32,Argentina,6,BUENOS AIRES,ARROYO DULCE,MAIZ HIBRIDOS SIMPLES,Hectareas,725
32,Argentina,6,BUENOS AIRES,ASCENSION,MAIZ HIBRIDOS SIMPLES,Hectareas,114
32,Argentina,6,BUENOS AIRES,AYACUCHO,MAIZ HIBRIDOS SIMPLES,Hectareas,20
32,Argentina,6,BUENOS AIRES,BALCARCE,MAIZ HIBRIDOS SIMPLES,Hectareas,2708.7
32,Argentina,6,BUENOS AIRES,BARADERO,MAIZ HIBRIDOS SIMPLES,Hectareas,144
32,Argentina,6,BUENOS AIRES,BENITEZ,MAIZ HIBRIDOS SIMPLES,Hectareas,29
32,Argentina,6,BUENOS AIRES,BERDIER,MAIZ HIBRIDOS SIMPLES,Hectareas,443
32,Argentina,6,BUENOS AIRES,BRAGADO,MAIZ HIBRIDOS SIMPLES,Hectareas,156
32,Argentina,6,BUENOS AIRES,CAPITAN SARMIENTO,MAIZ HIBRIDOS SIMPLES,Hectareas,142
